indicator,country,countryiso3code,date,value,unit,obs_status,decimal,year,fertility_rate,life_expectancy,total_population,source,department,code
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2024.0,14462724.0,,,0.0,2024,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2023.0,14111034.0,,,0.0,2023,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2022.0,13759501.0,,,0.0,2022,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2021.0,13413417.0,,,0.0,2021,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2020.0,13070169.0,,,0.0,2020,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2019.0,12726755.0,,,0.0,2019,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2018.0,12383347.0,,,0.0,2018,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2017.0,12039780.0,,,0.0,2017,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2016.0,11697842.0,,,0.0,2016,,,,,,
SP.POP.TOTL,"{'id': 'BJ', 'value': 'Benin'}",,2015.0,11360681.0,,,0.0,2015,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2024.0,1485.38018980894,,,1.0,2024,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2023.0,1394.17784663045,,,1.0,2023,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2022.0,1266.42710981159,,,1.0,2022,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2021.0,1318.65158107487,,,1.0,2021,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2020.0,1200.19426631122,,,1.0,2020,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2019.0,1130.82135339795,,,1.0,2019,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2018.0,1151.7409703472,,,1.0,2018,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2017.0,1054.97408066814,,,1.0,2017,,,,,,
NY.GDP.PCAP.CD,"{'id': 'BJ', 'value': 'Benin'}",,2016.0,1010.5338961993,,,1.0,2016,,,,,,
