year,                                 Secteur secondaire,                                 Secteur tertiaire,              Contribution a la croissance : Primaire,              Contribution a la croissance : Secondaire,              Contribution a la croissance : Tertiaire,              Poids (%) : Secteur primaire,Consommation finale,Consommation finale a prix constant ,Consommation privee ,Consommation privee a prix constant ,Consommation publique ,Consommation publique a prix constant ,Deflateur du PIB,Droits et taxes a l'importation,Droits et taxes à l'importation à prix constant,Epargne interieure ,Exportation des biens et services non facteurs ,Exportation des biens et services non facteurs a prix constant ,Formation brute de capital fixe (FBCF) ,Formation brute de capital fixe a prix constant ,Importation des biens et services non facteurs ,Importation des biens et services non facteurs a prix constant ,Investissement,NY.GDP.PCAP.CD,PIB a prix constant ,PIB marchand ,PIB marchand a prix constant ,PIB non marchand ,PIB non marchand a prix constant ,PRODUIT INTERIEUR BRUT (PIB) NOMINAL,Produit interieur brut aux coÃ»ts des facteurs calcule,SE.ADT.LITR.ZS,SP.POP.TOTL,Taux d'epargne interieure,Taux d'epargne interieure publique,Taux d'investissement,Taux d'investissement public,Taux de croissance du PIB réel,Valeur ajoutee des bÃ¢timents et travaux publics aux PIB,"Valeur ajoutee des gaz, eau, electricite","Valeur ajoutee des transports, entrepots et communications",Variation de stocks ,Variation de stocks a prix constant ,female_labor_force,female_literacy_rate,fertility_rate,infant_mortality_rate,life_expectancy,male_literacy_rate,maternal_mortality_ratio,pop_0_4,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_5_9,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_plus,population_total,valeur ajoutee a prix constant du secteur tertiaire ,valeur ajoutee des autres services marchands ,valeur ajoutee des industries ,valeur ajoutee du commerce ,valeur ajoutee du secteur des extractions ,valeur ajoutee du secteur primaire,valeur ajoutee du secteur primaire a prix constant ,valeur ajoutee du secteur secondaire ,valeur ajoutee du secteur secondaire a prix constant ,valeur ajoutee du secteur tertiaire 
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,93.9,,,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,89.1,,,474.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,90.0,59.2,,474.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,67.0,,,397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,68.1,63.8,,335.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,16.4,57.2,0.0,2.0,0.3,26.4,5820.08,5130.52,5051.77,4487.03,768.31,643.49,100.85,537.41,546.78,912.73,1205.0,999.22,1379.94,1463.59,1688.1,1907.41,1395.83,1002.41886879614,5711.31,5862.21,4997.89,870.6,706.06,6732.81,6107.12,,11360681.0,13.56,0.4,20.73,5.6,1.78,311.97,89.44,714.2,15.89,25.39,72.007,,,,,,,,,,,,,,,,,,,,,,,,,3041.28,862.7,675.68,867.8,26.09,1776.93,1530.86,1103.18,1054.86,3852.71
2016,15.7,56.5,2.4,0.1,0.8,27.8,6166.527,5216.98,5446.332,4613.74,720.195,603.23,100.684,584.313,540.99,838.703,1262.2,1133.93,1381.606,1468.34,1843.6,1970.42,1420.103,1010.5338961993,5902.05,6222.912,5258.93,782.318,640.11,7005.23,6527.799,,11697842.0,11.973,0.5,20.272,4.3,3.34,324.379,53.323,759.396,38.497,53.22,72.597,,,,,,,,,,,,,,,,,,,,,,,,,3218.83,908.112,695.708,926.919,26.556,1944.206,1668.12,1099.966,1064.27,3961.058
2017,15.1,56.4,2.1,0.1,3.5,28.5,6610.336,5500.58,5791.116,4817.08,819.22,683.5,100.218,555.879,523.25,805.089,1483.7,1296.82,1401.252,1552.98,2123.6,2174.4,1444.989,1054.97408066814,6234.07,6526.225,5505.69,889.2,722.81,7415.425,6888.866,38.871208190918,12039780.0,10.857,1.7,19.486,6.7,5.626,329.298,59.927,791.265,43.737,58.08,73.179,28.5498504638672,,,,51.0525016784668,,,,,,,,,,,,,,,,,,,,3347.87,913.682,712.177,1008.605,24.312,2131.08,1798.86,1125.714,1113.38,4158.631
2018,14.6,57.3,2.1,0.7,3.9,28.1,6743.78,5613.98,5884.434,4902.73,859.346,711.25,100.775,710.121,649.47,1220.773,2122.2,1301.18,1579.847,1717.79,2578.2,2115.56,1676.773,1151.7409703472,6644.21,7046.033,5900.4,918.52,739.45,7964.553,7254.432,,12383347.0,15.328,2.2,21.053,5.6,6.579,361.031,57.654,874.537,96.926,126.82,73.755,,5.7,55.0,,,391.0,,,,,,,,,,,,,,,,,,,3495.19,952.456,741.222,1009.555,25.662,2313.795,1925.52,1185.569,1183.65,4465.189
